room_id,Branch_id,room_num,type,price,floor_num,status,guest_id,start_date,end_date,is_current
1,2,570,Suite,119.0,12.0,Available,0,2025-11-15,,1
2,1,645,Single,71.0,0.0,Available,0,2025-11-15,,1
3,2,443,Double,188.0,14.0,Booked,0,2025-11-15,,1
4,2,455,Twin,350.0,7.0,Occupied,0,2025-11-15,,1
5,5,382,Suite,112.0,14.0,unknown,0,2025-11-15,,1
6,4,251,Deluxe,113.0,0.0,Available,1566,2025-11-15,,1
7,4,918,Family,228.0,3.0,unknown,0,2025-11-15,,1
8,2,834,Deluxe,289.0,12.0,Available,0,2025-11-15,,1
9,3,655,Twin,277.0,7.0,Booked,1643,2025-11-15,,1
10,6,544,Twin,152.0,14.0,Booked,0,2025-11-15,,1
11,5,920,Suite,328.0,5.0,Available,589,2025-11-15,,1
12,2,155,Twin,91.0,12.0,Available,0,2025-11-15,,1
13,3,637,Deluxe,140.0,11.0,Booked,0,2025-11-15,,1
14,4,112,Family,88.0,8.0,Available,0,2025-11-15,,1
15,2,144,Suite,83.0,7.0,Booked,0,2025-11-15,,1
16,6,588,Deluxe,49.0,0.0,Available,654,2025-11-15,,1
17,1,302,Double,110.0,2.0,Available,1830,2025-11-15,,1
18,3,168,Family,235.0,1.0,Available,0,2025-11-15,,1
19,4,636,Double,340.0,10.0,Maintenance,0,2025-11-15,,1
20,4,179,Deluxe,167.0,7.0,Booked,1826,2025-11-15,,1
21,2,148,Suite,168.0,1.0,Available,0,2025-11-15,,1
22,5,401,Double,236.0,1.0,Booked,430,2025-11-15,,1
23,6,741,Single,74.0,14.0,Available,0,2025-11-15,,1
24,1,845,Double,72.0,1.0,Booked,0,2025-11-15,,1
25,5,247,Double,31.0,11.0,Booked,0,2025-11-15,,1
26,2,489,Suite,258.0,4.0,Available,1978,2025-11-15,,1
27,5,377,Single,350.0,8.0,Booked,1525,2025-11-15,,1
28,5,616,Single,184.0,3.0,Maintenance,0,2025-11-15,,1
29,4,922,Suite,250.0,12.0,Available,0,2025-11-15,,1
30,4,526,Single,319.0,3.0,Available,0,2025-11-15,,1
31,6,197,Deluxe,320.0,14.0,Occupied,0,2025-11-15,,1
32,5,250,Double,213.0,12.0,Available,624,2025-11-15,,1
33,6,953,Suite,195.0,2.0,Booked,485,2025-11-15,,1
34,3,332,Family,208.0,0.0,Available,0,2025-11-15,,1
35,5,191,Double,270.0,11.0,Maintenance,1301,2025-11-15,,1
36,4,308,Suite,54.0,15.0,Booked,765,2025-11-15,,1
37,5,637,Deluxe,84.0,12.0,Available,0,2025-11-15,,1
38,4,811,Single,88.0,4.0,Available,1016,2025-11-15,,1
39,1,413,Twin,254.0,15.0,Booked,0,2025-11-15,,1
40,5,884,Family,346.0,3.0,Occupied,0,2025-11-15,,1
41,3,718,Double,190.0,5.0,Available,0,2025-11-15,,1
42,1,309,Deluxe,113.0,8.0,unknown,0,2025-11-15,,1
43,5,552,Twin,33.0,2.0,Available,540,2025-11-15,,1
44,2,546,Double,134.0,5.0,Available,0,2025-11-15,,1
45,4,366,Twin,44.0,12.0,Available,0,2025-11-15,,1
46,6,525,Single,210.0,2.0,Available,0,2025-11-15,,1
47,6,630,Double,236.0,1.0,Available,1104,2025-11-15,,1
48,5,150,Single,212.0,1.0,Occupied,0,2025-11-15,,1
49,5,733,Family,177.0,9.0,Available,0,2025-11-15,,1
50,6,288,Twin,282.0,13.0,Available,0,2025-11-15,,1
51,6,199,Deluxe,138.0,3.0,Available,0,2025-11-15,,1
52,3,954,Suite,142.0,0.0,Available,0,2025-11-15,,1
53,3,806,Twin,67.0,9.0,Available,0,2025-11-15,,1
54,3,339,Suite,252.0,1.0,Available,0,2025-11-15,,1
55,6,868,Family,80.0,14.0,Booked,0,2025-11-15,,1
56,4,645,Twin,350.0,9.0,Booked,0,2025-11-15,,1
57,6,418,Double,74.0,2.0,Booked,1443,2025-11-15,,1
58,2,642,Single,203.0,10.0,Booked,1274,2025-11-15,,1
