booking_id,guest_id,room_id,check_in,check_out,payment,booking_date,Branch_id
1,201,1354,2/15/2025,2/19/2025,302.63,1/22/2025,5
2,976,501,6/19/2025,6/23/2025,984.83,6/15/2025,1
3,967,1362,4/21/2025,4/25/2025,1706.31,,4
4,518,511,3/10/2025,3/12/2025,297.63,2/18/2025,2
5,1628,287,12/18/2024,12/30/2024,2262.64,11/18/2024,4
6,1542,1879,5/12/2025,5/14/2025,496.12,4/27/2025,5
7,1030,871,1/1/2025,1/15/2025,2042.53,12/12/2024,6
8,1856,834,5/10/2025,5/12/2025,135.49,4/11/2025,4
9,1125,141,6/1/2025,6/6/2025,,5/4/2025,4
10,31,1093,8/4/2025,8/18/2025,2079.64,7/13/2025,5
11,378,60,11/18/2024,12/1/2024,927.63,10/27/2024,6
12,395,1049,11/3/2024,11/15/2024,1679.88,10/6/2024,1
13,783,952,4/3/2025,4/15/2025,3552.59,3/8/2025,4
14,914,930,7/26/2025,8/9/2025,2974.77,7/17/2025,4
15,1033,1580,6/25/2025,7/4/2025,2052.02,5/27/2025,4
16,1706,1621,8/22/2025,8/26/2025,1126.09,8/22/2025,3
17,1000,1182,2/24/2025,2/28/2025,208.94,1/25/2025,4
18,1975,262,11/27/2024,12/11/2024,3064.42,11/26/2024,4
19,917,337,8/19/2025,8/29/2025,2812.88,8/18/2025,6
20,758,971,12/1/2024,12/10/2024,428,11/13/2024,1
21,386,304,9/18/2025,9/28/2025,3572.83,9/6/2025,6
22,663,1525,10/5/2024,10/6/2024,67.71,9/5/2024,6
23,1797,555,4/15/2025,4/23/2025,1141.3,3/23/2025,4
24,1731,25,11/6/2024,11/7/2024,40,10/13/2024,5
25,1263,247,7/28/2025,8/11/2025,1933.62,7/25/2025,5
26,1379,1555,7/7/2025,7/20/2025,1755.07,6/16/2025,6
27,1772,1886,5/20/2025,5/22/2025,223.08,4/29/2025,6
28,1529,1380,5/8/2025,5/14/2025,346.19,4/18/2025,6
29,105,958,1/6/2025,1/15/2025,1013.31,12/13/2024,6
30,944,73,7/14/2025,7/20/2025,1352.51,6/15/2025,6
31,1094,559,12/22/2024,12/25/2024,1016.52,12/9/2024,3
32,1200,339,6/20/2025,6/26/2025,1264.23,6/16/2025,6
